"id","protein_id","hits_to","query_protein_length","percentage_phage_coat","percentage_encapsulin","enc_perc_fraction","group","clan_phagecoat_percentage","clan_phagecoat_percentage_adjusted","query_genome_length","encapsulin_coverage","mcp_coverage","mcp_percentage","total_aligned","encapsulin_fraction","query_genome_length_kbp"
"DTR_432900","DTR_432900_13","Linocin_M18|Phage_capsid_2|Zot",279,41.37,30.22,73.04810249,"Mini",41.37,41.37,9467,NA,NA,NA,NA,0.7304810249,9.467
"DTR_334798","DTR_334798_8","Peptidase_S78|Phage_capsid",614,42.09,0,0,"Mini",42.09,42.09,8052,NA,NA,NA,NA,0,8.052
"DTR_526455","DTR_526455_13","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13745,NA,NA,NA,NA,0,13.745
"DTR_387984","DTR_387984_10","Phage_capsid",408,64.37,0,0,"Control",64.37,64.37,11901,NA,NA,NA,NA,0,11.901
"DTR_577904","DTR_577904_1","DUF2184|Phage_capsid|TMF_TATA_bd",378,50.53,0,0,"Mini",50.53,50.53,10089,NA,NA,NA,NA,0,10.089
"DTR_073930","DTR_073930_20","Phage_capsid_2",287,56.29,0,0,"Control",56.29,56.29,12487,NA,NA,NA,NA,0,12.487
"DTR_260897","DTR_260897_6","Phage_capsid|Proteasome",424,58.87,0,0,"Mini",58.87,58.87,9926,NA,NA,NA,NA,0,9.926
"DTR_548576","DTR_548576_11","DUF2396|Phage_capsid",294,93.52,0,0,"Mini",93.52,93.52,9557,NA,NA,NA,NA,0,9.557
"DTR_751718","DTR_751718_10","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13078,NA,NA,NA,NA,0,13.078
"DTR_350872","DTR_350872_8","Phage_capsid",411,58.29,0,0,"Control",58.29,58.29,19961,NA,NA,NA,NA,0,19.961
"DTR_101084","DTR_101084_7","DUF4235|Peptidase_S78|Phage_capsid",524,26.96,0,0,"Control",26.96,26.96,14316,NA,NA,NA,NA,0,14.316
"DTR_314630","DTR_314630_3","Peptidase_S78|Phage_capsid",524,32.7,0,0,"Control",32.7,32.7,14100,NA,NA,NA,NA,0,14.1
"DTR_194669","DTR_194669_13","Linocin_M18|Phage_capsid",451,54,18.44,34.14814815,"Control",54,54,16835,NA,NA,NA,NA,0.3414814815,16.835
"DTR_519520","DTR_519520_3","DAGK_prokar|Phage_capsid",408,64.37,0,0,"Control",64.37,64.37,12044,NA,NA,NA,NA,0,12.044
"DTR_170779","DTR_170779_7","Linocin_M18|Peptidase_S78|Phage_capsid",524,52.58,13,24.72422975,"Mini",52.58,52.58,10494,NA,NA,NA,NA,0.2472422975,10.494
"DTR_364435","DTR_364435_7","Phage_capsid",412,63.5,0,0,"Mini",63.5,63.5,8334,NA,NA,NA,NA,0,8.334
"DTR_464867","DTR_464867_4","Phage_capsid",408,64.37,0,0,"Control",64.37,64.37,11670,NA,NA,NA,NA,0,11.67
"DTR_877176","DTR_877176_7","COS|Phage_capsid",443,60.86,0,0,"Mini",60.86,60.86,7469,NA,NA,NA,NA,0,7.469
"DTR_568445","DTR_568445_3","Phage_capsid",410,65.28,0,0,"Control",65.28,65.28,12657,NA,NA,NA,NA,0,12.657
"DTR_876698","DTR_876698_15","Linocin_M18|Phage_capsid_2",170,38.46,33.73,87.70150806,"Mini",38.46,38.46,8158,NA,NA,NA,NA,0.8770150806,8.158
"DTR_758375","DTR_758375_1","Phage_capsid|SLS",252,59.76,0,0,"Micro",59.76,59.76,2655,NA,NA,NA,NA,0,2.655
"DTR_702677","DTR_702677_13","DUF5309",376,73.6,0,0,"Control",73.6,73.6,14602,NA,NA,NA,NA,0,14.602
"DTR_397162","DTR_397162_2","Peptidase_S78|Phage_capsid",523,22.22,0,0,"Control",22.22,22.22,16585,NA,NA,NA,NA,0,16.585
"DTR_099717","DTR_099717_10","DUF4235|Peptidase_S78|Phage_capsid",524,26.96,0,0,"Control",26.96,26.96,14316,NA,NA,NA,NA,0,14.316
"DTR_009104","DTR_009104_13","CBP_BcsN|Phage_cap_E",334,95.8,0,0,"Control",95.8,95.8,14358,NA,NA,NA,NA,0,14.358
"DTR_663535","DTR_663535_4","DUF499|Peptidase_S78|Phage_capsid|Sfi1",519,49.03,0,0,"Control",49.03,49.03,16628,NA,NA,NA,NA,0,16.628
"DTR_595291","DTR_595291_12","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13060,NA,NA,NA,NA,0,13.06
"DTR_371629","DTR_371629_4","DUF2396|Phage_capsid",294,93.52,0,0,"Mini",93.52,93.52,9419,NA,NA,NA,NA,0,9.419
"YP_009884410.1","YP_009884410.1","GT4-conflict|Mu-like_gpT",357,21.85,0,0,"Refseq",21.85,21.85,45507,NA,NA,NA,NA,0,45.507
"DTR_264123","DTR_264123_19","Peptidase_S78|Phage_capsid",497,47.78,0,0,"Control",47.78,47.78,15635,NA,NA,NA,NA,0,15.635
"DTR_578679","DTR_578679_1","Phage_capsid",264,91.25,0,0,"Mini",91.25,91.25,6743,NA,NA,NA,NA,0,6.743
"DTR_056025","DTR_056025_8","Linocin_M18|Phage_cap_E",289,40.62,29.51,72.64894141,"Control",40.62,40.62,12855,NA,NA,NA,NA,0.7264894141,12.855
"DTR_441307","DTR_441307_12","FlhD|Peptidase_S78|Phage_capsid",551,46.91,0,0,"Control",46.91,46.91,16478,NA,NA,NA,NA,0,16.478
"DTR_701409","DTR_701409_10","Phage_capsid",164,82.82,0,0,"Mini",82.82,82.82,6625,NA,NA,NA,NA,0,6.625
"DTR_344823","DTR_344823_1","Phage_capsid",202,96.02,0,0,"Mini",96.02,96.02,9932,NA,NA,NA,NA,0,9.932
"DTR_818132","DTR_818132_6","DUF2059|NOV_C|Phage_capsid",409,77.7,0,0,"Control",77.7,77.7,13673,NA,NA,NA,NA,0,13.673
"DTR_205929","DTR_205929_1","Phage_capsid",356,53.09,0,0,"Control",53.09,53.09,12943,NA,NA,NA,NA,0,12.943
"DTR_294267","DTR_294267_22","Phage_capsid",662,36.61,0,0,"Control",36.61,36.61,16967,NA,NA,NA,NA,0,16.967
"DTR_415995","DTR_415995_3","Peptidase_S78|Phage_capsid",499,50.4,0,0,"Mini",50.4,50.4,9379,NA,NA,NA,NA,0,9.379
"DTR_112549","DTR_112549_7","Peptidase_S78|Phage_capsid",518,38.3,0,0,"Control",38.3,38.3,14727,NA,NA,NA,NA,0,14.727
"DTR_357829","DTR_357829_1","Phage_capsid",235,98.72,0,0,"Mini",98.72,98.72,9409,NA,NA,NA,NA,0,9.409
"DTR_263100","DTR_263100_1","Phage_capsid",418,57.18,0,0,"Mini",57.18,57.18,7097,NA,NA,NA,NA,0,7.097
"DTR_267702","DTR_267702_17","MAP2_projctn|Phage_capsid",291,32.07,0,0,"Control",32.07,32.07,14946,NA,NA,NA,NA,0,14.946
"DTR_433962","DTR_433962_3","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13060,NA,NA,NA,NA,0,13.06
"DTR_240923","DTR_240923_8","Phage_capsid",483,51.87,0,0,"Mini",51.87,51.87,8032,NA,NA,NA,NA,0,8.032
"DTR_317921","DTR_317921_10","DUF6645|Phage_capsid|TBX2-3_RD",302,93.36,0,0,"Control",93.36,93.36,15039,NA,NA,NA,NA,0,15.039
"DTR_334236","DTR_334236_7","Phage_capsid_2",285,69.01,0,0,"Control",69.01,69.01,12050,NA,NA,NA,NA,0,12.05
"DTR_198658","DTR_198658_9","APG6_N|DASH_Spc19|Phage_capsid|SOAR|TSC22",381,67.63,0,0,"Mini",67.63,67.63,7971,NA,NA,NA,NA,0,7.971
"DTR_123149","DTR_123149_10","Gp10A-like|Hex_IIIa|Phage_capsid_2",285,70.42,0,0,"Control",70.42,70.42,15171,NA,NA,NA,NA,0,15.171
"DTR_256758","DTR_256758_1","Phage_capsid",367,75.14,0,0,"Mini",75.14,75.14,9934,NA,NA,NA,NA,0,9.934
"DTR_496100","DTR_496100_11","Alpha-amylase|Peptidase_S78|Phage_capsid",558,49.01,0,0,"Mini",49.01,49.01,8490,NA,NA,NA,NA,0,8.49
"DTR_053375","DTR_053375_13","Phage_capsid",400,37.09,0,0,"Control",37.09,37.09,18768,NA,NA,NA,NA,0,18.768
"DTR_655782","DTR_655782_5","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13244,NA,NA,NA,NA,0,13.244
"DTR_406075","DTR_406075_11","Phage_capsid",418,64.75,0,0,"Mini",64.75,64.75,8699,NA,NA,NA,NA,0,8.699
"DTR_468826","DTR_468826_5","Phage_capsid",412,64.48,0,0,"Control",64.48,64.48,11894,NA,NA,NA,NA,0,11.894
"DTR_330540","DTR_330540_8","Peptidase_S78|Phage_capsid",498,47.89,0,0,"Control",47.89,47.89,15674,NA,NA,NA,NA,0,15.674
"DTR_657824","DTR_657824_4","LUC7|OmpH|Phage_capsid|S6OS1",212,49.29,0,0,"Micro",49.29,49.29,2119,NA,NA,NA,NA,0,2.119
"DTR_056529","DTR_056529_15","Phage_capsid_2",290,55.02,0,0,"Control",55.02,55.02,11847,NA,NA,NA,NA,0,11.847
"DTR_809152","DTR_809152_9","DUF1192|Phage_capsid",391,55.9,0,0,"Control",55.9,55.9,14010,NA,NA,NA,NA,0,14.01
"DTR_075084","DTR_075084_1","Phage_capsid",374,62.57,0,0,"Control",62.57,62.57,11921,NA,NA,NA,NA,0,11.921
"DTR_478164","DTR_478164_14","Peptidase_S78|Phage_capsid|Sfi1",519,49.03,0,0,"Control",49.03,49.03,16548,NA,NA,NA,NA,0,16.548
"DTR_770808","DTR_770808_7","Caprin-1_dimer|DUF6384|DUF6823|Phage_capsid",420,65.63,0,0,"Mini",65.63,65.63,8345,NA,NA,NA,NA,0,8.345
"DTR_662587","DTR_662587_10","Phage_capsid",485,56.61,0,0,"Mini",56.61,56.61,9370,NA,NA,NA,NA,0,9.37
"DTR_022902","DTR_022902_4","Phage_capsid",372,76.01,0,0,"Mini",76.01,76.01,10694,NA,NA,NA,NA,0,10.694
"DTR_263477","DTR_263477_1","Peptidase_S78|Phage_capsid",530,56.71,0,0,"Control",56.71,56.71,17122,NA,NA,NA,NA,0,17.122
"DTR_133318","DTR_133318_2","P22_CoatProtein",281,77.5,0,0,"Mini",77.5,77.5,10272,NA,NA,NA,NA,0,10.272
"DTR_858835","DTR_858835_4","Linocin_M18",280,61.29,61.29,100,"Mini",61.29,61.29,9680,NA,NA,NA,NA,1,9.68
"DTR_387911","DTR_387911_3","DUF3600|Linocin_M18",282,61.21,61.21,100,"Mini",61.21,61.21,9576,NA,NA,NA,NA,1,9.576
"DTR_410947","DTR_410947_11","DUF4235|Peptidase_S78|Phage_capsid|a_DG1_N2|bZIP_2",525,27.1,0,0,"Control",27.1,27.1,14270,NA,NA,NA,NA,0,14.27
"DTR_156066","DTR_156066_12","Phage_capsid",374,68.9,0,0,"Mini",68.9,68.9,8609,NA,NA,NA,NA,0,8.609
"DTR_838660","DTR_838660_7","Linocin_M18",282,41.28,41.28,100,"Mini",41.28,41.28,8001,NA,NA,NA,NA,1,8.001
"DTR_568067","DTR_568067_1","Phage_capsid",396,65.32,0,0,"Mini",65.32,65.32,8384,NA,NA,NA,NA,0,8.384
"DTR_616326","DTR_616326_12","Phage_capsid",410,63.81,0,0,"Mini",63.81,63.81,11135,NA,NA,NA,NA,0,11.135
"DTR_711633","DTR_711633_17","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13756,NA,NA,NA,NA,0,13.756
"DTR_744758","DTR_744758_20","Peptidase_S78|Phage_capsid",523,22.22,0,0,"Control",22.22,22.22,16617,NA,NA,NA,NA,0,16.617
"DTR_053579","DTR_053579_4","Peptidase_S78|Phage_capsid",512,42.86,0,0,"Control",42.86,42.86,16429,NA,NA,NA,NA,0,16.429
"DTR_313410","DTR_313410_17","CoV_NSP2_C|Peptidase_S78|Phage_capsid|S1-like",497,43.75,0,0,"Control",43.75,43.75,15691,NA,NA,NA,NA,0,15.691
"DTR_432726","DTR_432726_9","Phage_capsid",415,64.49,0,0,"Control",64.49,64.49,13487,NA,NA,NA,NA,0,13.487
"DTR_300201","DTR_300201_3","Peptidase_S78|Phage_capsid",503,29.68,0,0,"Control",29.68,29.68,14344,NA,NA,NA,NA,0,14.344
"DTR_310598","DTR_310598_7","Linocin_M18|Peptidase_S78|Phage_capsid|UBA",503,52.39,11.35,21.66443978,"Mini",52.39,52.39,8887,NA,NA,NA,NA,0.2166443978,8.887
"DTR_687427","DTR_687427_14","DUF2059|Phage_capsid",410,65.77,0,0,"Control",65.77,65.77,13938,NA,NA,NA,NA,0,13.938
"DTR_868114","DTR_868114_15","FMN_bind|Get5_C|Phage_capsid",411,64.39,0,0,"Control",64.39,64.39,11620,NA,NA,NA,NA,0,11.62
"DTR_405159","DTR_405159_5","DUF6384|DUF6823|Phage_capsid",410,67.24,0,0,"Mini",67.24,67.24,7956,NA,NA,NA,NA,0,7.956
"DTR_596921","DTR_596921_6","Phage_capsid",411,64.39,0,0,"Control",64.39,64.39,12478,NA,NA,NA,NA,0,12.478
"DTR_376964","DTR_376964_1","Phage_capsid",66,90.77,0,0,"Mini",90.77,90.77,8950,NA,NA,NA,NA,0,8.95
"DTR_023342","DTR_023342_5","Phage_capsid",431,70,0,0,"Mini",70,70,10702,NA,NA,NA,NA,0,10.702
"DTR_501211","DTR_501211_7","Peptidase_S78|Phage_capsid",499,50.4,0,0,"Mini",50.4,50.4,9407,NA,NA,NA,NA,0,9.407
"DTR_533866","DTR_533866_6","B|Phage_capsid",421,63.33,0,0,"Control",63.33,63.33,12790,NA,NA,NA,NA,0,12.79
"DTR_638742","DTR_638742_12","Peptidase_S78|Phage_capsid",523,30.46,0,0,"Control",30.46,30.46,16585,NA,NA,NA,NA,0,16.585
"DTR_651437","DTR_651437_3","BLOC1_2|DUF4407|Phage_capsid|PspB|YPEB_N",389,72.42,0,0,"Control",72.42,72.42,16156,NA,NA,NA,NA,0,16.156
"DTR_685244","DTR_685244_13","Linocin_M18",280,61.29,61.29,100,"Mini",61.29,61.29,9837,NA,NA,NA,NA,1,9.837
"DTR_394160","DTR_394160_12","Linocin_M18",280,38.35,38.35,100,"Mini",38.35,38.35,8489,NA,NA,NA,NA,1,8.489
"DTR_695978","DTR_695978_25","OAD_gamma|Peptidase_S78|Phage_capsid",524,31.36,0,0,"Control",31.36,31.36,16044,NA,NA,NA,NA,0,16.044
"YP_009097632.1","YP_009097632.1","Gp23",166,24.1,0,0,"Refseq",24.1,24.1,178171,NA,NA,NA,NA,0,178.171
"DTR_333958","DTR_333958_1","Phage_capsid",194,97.93,0,0,"Mini",97.93,97.93,7102,NA,NA,NA,NA,0,7.102
"DTR_707963","DTR_707963_14","DUF2059|Phage_capsid",410,65.77,0,0,"Control",65.77,65.77,13938,NA,NA,NA,NA,0,13.938
"DTR_401384","DTR_401384_13","Phage_capsid",368,74.39,0,0,"Control",74.39,74.39,13001,NA,NA,NA,NA,0,13.001
"DTR_137210","DTR_137210_3","DUF6260|DUF6341",115,75.44,0,0,"Mini",75.44,75.44,10946,NA,NA,NA,NA,0,10.946
"DTR_331758","DTR_331758_8","Peptidase_S78|Phage_capsid",515,52.53,0,0,"Control",52.53,52.53,15458,NA,NA,NA,NA,0,15.458
"DTR_258728","DTR_258728_2","Peptidase_S78|Phage_capsid",513,50.2,0,0,"Control",50.2,50.2,16491,NA,NA,NA,NA,0,16.491
"DTR_122154","DTR_122154_8","Peptidase_S78|Phage_capsid",609,45.56,0,0,"Control",45.56,45.56,19213,NA,NA,NA,NA,0,19.213
"DTR_233894","DTR_233894_20","ATG14|CREPT|FlxA|Nepo_coat_N|Phage_capsid|Wtap",428,69.09,0,0,"Control",69.09,69.09,17614,NA,NA,NA,NA,0,17.614
"DTR_152302","DTR_152302_15","Peptidase_S78|Phage_capsid",601,39,0,0,"Control",39,39,19746,NA,NA,NA,NA,0,19.746
"DTR_513107","DTR_513107_6","Phage_capsid",418,64.75,0,0,"Mini",64.75,64.75,8483,NA,NA,NA,NA,0,8.483
"DTR_194538","DTR_194538_10","Linocin_M18|Phage_capsid",451,54,18.44,34.14814815,"Control",54,54,16835,NA,NA,NA,NA,0.3414814815,16.835
"DTR_297376","DTR_297376_5","Gp10A-like|Hex_IIIa|Phage_capsid_2",285,70.42,0,0,"Control",70.42,70.42,15175,NA,NA,NA,NA,0,15.175
"DTR_584709","DTR_584709_7","DUF1428|DUF4829|Linocin_M18",283,28.37,28.37,100,"Mini",28.37,28.37,8450,NA,NA,NA,NA,1,8.45
"DTR_759812","DTR_759812_10","DUF1428|DUF4829|Linocin_M18",283,28.37,28.37,100,"Mini",28.37,28.37,8476,NA,NA,NA,NA,1,8.476
"DTR_599108","DTR_599108_16","Phage_capsid",399,67.09,0,0,"Control",67.09,67.09,12405,NA,NA,NA,NA,0,12.405
"DTR_009109","DTR_009109_2","L_lactis_ph-MCP|Linocin_M18|Phage_capsid",365,78.02,17.03,21.82773648,"Mini",78.02,78.02,9066,NA,NA,NA,NA,0.2182773648,9.066
"DTR_349085","DTR_349085_5","DUF5309|Lectin_N",345,89.53,0,0,"Control",89.53,89.53,16991,NA,NA,NA,NA,0,16.991
"DTR_318824","DTR_318824_19","Peptidase_S78|Phage_capsid",502,47.5,0,0,"Control",47.5,47.5,16286,NA,NA,NA,NA,0,16.286
"DTR_142910","DTR_142910_6","Phage_capsid",300,94.31,0,0,"Control",94.31,94.31,14141,NA,NA,NA,NA,0,14.141
"DTR_135816","DTR_135816_8","DUF2537|P22_CoatProtein",281,78.57,0,0,"Mini",78.57,78.57,10110,NA,NA,NA,NA,0,10.11
"DTR_437789","DTR_437789_1","Phage_capsid",399,67.09,0,0,"Control",67.09,67.09,12405,NA,NA,NA,NA,0,12.405
"DTR_698294","DTR_698294_14","DUF6645|Phage_capsid",302,94.02,0,0,"Control",94.02,94.02,14712,NA,NA,NA,NA,0,14.712
"DTR_662310","DTR_662310_5","Peptidase_S78|Phage_capsid",570,37.26,0,0,"Mini",37.26,37.26,5015,NA,NA,NA,NA,0,5.015
"DTR_497053","DTR_497053_3","Get5_C|Phage_capsid",411,64.39,0,0,"Control",64.39,64.39,12139,NA,NA,NA,NA,0,12.139
"DTR_042739","DTR_042739_6","Peptidase_S78|Phage_capsid",596,40.34,0,0,"Control",40.34,40.34,17519,NA,NA,NA,NA,0,17.519
"DTR_701313","DTR_701313_8","Mu-like_gpT",662,8.77,0,0,"Control",8.77,8.77,19833,NA,NA,NA,NA,0,19.833
"DTR_216087","DTR_216087_13","Phage_capsid",411,78.05,0,0,"Control",78.05,78.05,13841,NA,NA,NA,NA,0,13.841
"DTR_501506","DTR_501506_16","Phage_capsid|S6OS1|V_ATPase_I",368,74.66,0,0,"Control",74.66,74.66,13105,NA,NA,NA,NA,0,13.105
"DTR_262823","DTR_262823_19","Peptidase_S78|Phage_capsid",497,47.78,0,0,"Control",47.78,47.78,15635,NA,NA,NA,NA,0,15.635
"DTR_405054","DTR_405054_1","FlhD|Peptidase_S78|Phage_capsid",551,46.91,0,0,"Control",46.91,46.91,16465,NA,NA,NA,NA,0,16.465
"DTR_110268","DTR_110268_2","Peptidase_S78|Phage_capsid",520,44.32,0,0,"Control",44.32,44.32,13990,NA,NA,NA,NA,0,13.99
"DTR_784866","DTR_784866_21","Peptidase_S78|Phage_capsid",522,22.07,0,0,"Control",22.07,22.07,16259,NA,NA,NA,NA,0,16.259
"DTR_459623","DTR_459623_3","Phage_capsid",294,93.52,0,0,"Mini",93.52,93.52,9485,NA,NA,NA,NA,0,9.485
"DTR_095749","DTR_095749_14","DUF3848|GP38|Mu-like_gpT|Peptidase_S78",631,22.7,0,0,"Control",22.7,22.7,12310,NA,NA,NA,NA,0,12.31
"DTR_099162","DTR_099162_5","DUF5309",377,59.84,0,0,"Control",59.84,59.84,14090,NA,NA,NA,NA,0,14.09
"DTR_486720","DTR_486720_2","Peptidase_S78|Phage_capsid",523,30.46,0,0,"Control",30.46,30.46,16585,NA,NA,NA,NA,0,16.585
"DTR_176112","DTR_176112_26","DUF3751|Phage_capsid",430,68.53,0,0,"Control",68.53,68.53,16892,NA,NA,NA,NA,0,16.892
"DTR_348737","DTR_348737_1","GP7",106,81.13,0,0,"Control",81.13,81.13,15526,NA,NA,NA,NA,0,15.526
"DTR_699652","DTR_699652_3","Peptidase_S78|Phage_capsid",509,42.72,0,0,"Control",42.72,42.72,14359,NA,NA,NA,NA,0,14.359
"DTR_153740","DTR_153740_14","Phage_capsid",318,84.86,0,0,"Control",84.86,84.86,13932,NA,NA,NA,NA,0,13.932
"DTR_699705","DTR_699705_20","Peptidase_S78|Phage_capsid",509,42.72,0,0,"Control",42.72,42.72,14359,NA,NA,NA,NA,0,14.359
"DTR_395962","DTR_395962_5","Linocin_M18",277,40.94,40.94,100,"Mini",40.94,40.94,8776,NA,NA,NA,NA,1,8.776
"DTR_299916","DTR_299916_2","Phage_capsid",170,88.17,0,0,"Micro",88.17,88.17,2194,NA,NA,NA,NA,0,2.194
"DTR_008905","DTR_008905_9","L_lactis_ph-MCP|Linocin_M18|Phage_capsid",365,78.02,17.03,21.82773648,"Mini",78.02,78.02,9063,NA,NA,NA,NA,0.2182773648,9.063
"DTR_117393","DTR_117393_5","Phage_capsid|SSFA2_C",390,72.49,0,0,"Mini",72.49,72.49,7742,NA,NA,NA,NA,0,7.742
"DTR_294789","DTR_294789_13","Phage_capsid",352,38.46,0,0,"Mini",38.46,38.46,11497,NA,NA,NA,NA,0,11.497
"DTR_110169","DTR_110169_1","Phage_capsid",320,57.05,0,0,"Control",57.05,57.05,15671,NA,NA,NA,NA,0,15.671
"DTR_022117","DTR_022117_4","Phage_capsid",390,73.01,0,0,"Control",73.01,73.01,18709,NA,NA,NA,NA,0,18.709
"DTR_010412","DTR_010412_2","Phage_capsid",394,65.39,0,0,"Mini",65.39,65.39,7130,NA,NA,NA,NA,0,7.13
"DTR_251325","DTR_251325_1","ALC|Bap31_Bap29_C|DUF4337|DUF5927|Duffy_binding|Phage_capsid",297,44.44,0,0,"Mini",44.44,44.44,9400,NA,NA,NA,NA,0,9.4
"DTR_679629","DTR_679629_8","HZS_alpha|LisH_2|P22_CoatProtein",289,28.12,0,0,"Micro",28.12,28.12,3568,NA,NA,NA,NA,0,3.568
"DTR_591332","DTR_591332_19","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13942,NA,NA,NA,NA,0,13.942
"DTR_055730","DTR_055730_7","Phage_capsid",412,63.5,0,0,"Mini",63.5,63.5,8320,NA,NA,NA,NA,0,8.32
"DTR_258730","DTR_258730_30","Phage_capsid",405,47.52,0,0,"Control",47.52,47.52,16258,NA,NA,NA,NA,0,16.258
"DTR_654632","DTR_654632_4","Phage_capsid",408,64.37,0,0,"Control",64.37,64.37,11670,NA,NA,NA,NA,0,11.67
"DTR_644567","DTR_644567_3","DnaG_DnaB_bind|Phage_capsid",490,57.46,0,0,"Mini",57.46,57.46,8668,NA,NA,NA,NA,0,8.668
"DTR_125658","DTR_125658_12","CCDC74_C|DASH_Spc19|DUF2680|DegS|Phage_capsid",411,61.95,0,0,"Mini",61.95,61.95,9623,NA,NA,NA,NA,0,9.623
"DTR_661898","DTR_661898_13","Phage_capsid",403,70.65,0,0,"Mini",70.65,70.65,9159,NA,NA,NA,NA,0,9.159
