id,protein_id,hits_to,query_protein_length,percentage_phage_coat,percentage_encapsulin,enc_perc_fraction,group,clan_phagecoat_percentage,clan_phagecoat_percentage_adjusted
DTR_876698,DTR_876698_15,Linocin_M18|Phage_capsid_2,170,38.46,33.73,87.70150806,Mini,38.46,38.46
DTR_758375,DTR_758375_1,Phage_capsid|SLS,252,59.76,0,0,Micro,59.76,59.76
DTR_702677,DTR_702677_13,DUF5309,376,73.6,0,0,Control,73.6,73.6
DTR_397162,DTR_397162_2,Peptidase_S78|Phage_capsid,523,22.22,0,0,Control,22.22,22.22
DTR_099717,DTR_099717_10,DUF4235|Peptidase_S78|Phage_capsid,524,26.96,0,0,Control,26.96,26.96
DTR_009104,DTR_009104_13,CBP_BcsN|Phage_cap_E,334,95.8,0,0,Control,95.8,95.8
DTR_663535,DTR_663535_4,DUF499|Peptidase_S78|Phage_capsid|Sfi1,519,49.03,0,0,Control,49.03,49.03
DTR_595291,DTR_595291_12,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_371629,DTR_371629_4,DUF2396|Phage_capsid,294,93.52,0,0,Mini,93.52,93.52
YP_009884410.1,YP_009884410.1,GT4-conflict|Mu-like_gpT,357,21.85,0,0,Refseq,21.85,21.85
DTR_264123,DTR_264123_19,Peptidase_S78|Phage_capsid,497,47.78,0,0,Control,47.78,47.78
DTR_578679,DTR_578679_1,Phage_capsid,264,91.25,0,0,Mini,91.25,91.25
DTR_056025,DTR_056025_8,Linocin_M18|Phage_cap_E,289,40.62,29.51,72.64894141,Control,40.62,40.62
DTR_441307,DTR_441307_12,FlhD|Peptidase_S78|Phage_capsid,551,46.91,0,0,Control,46.91,46.91
DTR_701409,DTR_701409_10,Phage_capsid,164,82.82,0,0,Mini,82.82,82.82
DTR_344823,DTR_344823_1,Phage_capsid,202,96.02,0,0,Mini,96.02,96.02
DTR_818132,DTR_818132_6,DUF2059|NOV_C|Phage_capsid,409,77.7,0,0,Control,77.7,77.7
DTR_205929,DTR_205929_1,Phage_capsid,356,53.09,0,0,Control,53.09,53.09
DTR_294267,DTR_294267_22,Phage_capsid,662,36.61,0,0,Control,36.61,36.61
DTR_415995,DTR_415995_3,Peptidase_S78|Phage_capsid,499,50.4,0,0,Mini,50.4,50.4
DTR_112549,DTR_112549_7,Peptidase_S78|Phage_capsid,518,38.3,0,0,Control,38.3,38.3
DTR_357829,DTR_357829_1,Phage_capsid,235,98.72,0,0,Mini,98.72,98.72
DTR_263100,DTR_263100_1,Phage_capsid,418,57.18,0,0,Mini,57.18,57.18
DTR_267702,DTR_267702_17,MAP2_projctn|Phage_capsid,291,32.07,0,0,Control,32.07,32.07
DTR_433962,DTR_433962_3,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_240923,DTR_240923_8,Phage_capsid,483,51.87,0,0,Mini,51.87,51.87
DTR_317921,DTR_317921_10,DUF6645|Phage_capsid|TBX2-3_RD,302,93.36,0,0,Control,93.36,93.36
DTR_334236,DTR_334236_7,Phage_capsid_2,285,69.01,0,0,Control,69.01,69.01
DTR_198658,DTR_198658_9,APG6_N|DASH_Spc19|Phage_capsid|SOAR|TSC22,381,67.63,0,0,Mini,67.63,67.63
DTR_123149,DTR_123149_10,Gp10A-like|Hex_IIIa|Phage_capsid_2,285,70.42,0,0,Control,70.42,70.42
DTR_256758,DTR_256758_1,Phage_capsid,367,75.14,0,0,Mini,75.14,75.14
DTR_496100,DTR_496100_11,Alpha-amylase|Peptidase_S78|Phage_capsid,558,49.01,0,0,Mini,49.01,49.01
DTR_053375,DTR_053375_13,Phage_capsid,400,37.09,0,0,Control,37.09,37.09
DTR_655782,DTR_655782_5,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_406075,DTR_406075_11,Phage_capsid,418,64.75,0,0,Mini,64.75,64.75
DTR_468826,DTR_468826_5,Phage_capsid,412,64.48,0,0,Control,64.48,64.48
DTR_330540,DTR_330540_8,Peptidase_S78|Phage_capsid,498,47.89,0,0,Control,47.89,47.89
DTR_657824,DTR_657824_4,LUC7|OmpH|Phage_capsid|S6OS1,212,49.29,0,0,Micro,49.29,49.29
DTR_056529,DTR_056529_15,Phage_capsid_2,290,55.02,0,0,Control,55.02,55.02
DTR_809152,DTR_809152_9,DUF1192|Phage_capsid,391,55.9,0,0,Control,55.9,55.9
DTR_075084,DTR_075084_1,Phage_capsid,374,62.57,0,0,Control,62.57,62.57
DTR_478164,DTR_478164_14,Peptidase_S78|Phage_capsid|Sfi1,519,49.03,0,0,Control,49.03,49.03
DTR_770808,DTR_770808_7,Caprin-1_dimer|DUF6384|DUF6823|Phage_capsid,420,65.63,0,0,Mini,65.63,65.63
DTR_662587,DTR_662587_10,Phage_capsid,485,56.61,0,0,Mini,56.61,56.61
DTR_022902,DTR_022902_4,Phage_capsid,372,76.01,0,0,Mini,76.01,76.01
DTR_263477,DTR_263477_1,Peptidase_S78|Phage_capsid,530,56.71,0,0,Control,56.71,56.71
DTR_133318,DTR_133318_2,P22_CoatProtein,281,77.5,0,0,Mini,77.5,77.5
DTR_858835,DTR_858835_4,Linocin_M18,280,61.29,61.29,100,Mini,61.29,61.29
DTR_387911,DTR_387911_3,DUF3600|Linocin_M18,282,61.21,61.21,100,Mini,61.21,61.21
DTR_410947,DTR_410947_11,DUF4235|Peptidase_S78|Phage_capsid|a_DG1_N2|bZIP_2,525,27.1,0,0,Control,27.1,27.1
DTR_156066,DTR_156066_12,Phage_capsid,374,68.9,0,0,Mini,68.9,68.9
DTR_838660,DTR_838660_7,Linocin_M18,282,41.28,41.28,100,Mini,41.28,41.28
DTR_568067,DTR_568067_1,Phage_capsid,396,65.32,0,0,Mini,65.32,65.32
DTR_616326,DTR_616326_12,Phage_capsid,410,63.81,0,0,Mini,63.81,63.81
DTR_711633,DTR_711633_17,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_744758,DTR_744758_20,Peptidase_S78|Phage_capsid,523,22.22,0,0,Control,22.22,22.22
DTR_053579,DTR_053579_4,Peptidase_S78|Phage_capsid,512,42.86,0,0,Control,42.86,42.86
DTR_313410,DTR_313410_17,CoV_NSP2_C|Peptidase_S78|Phage_capsid|S1-like,497,43.75,0,0,Control,43.75,43.75
DTR_432726,DTR_432726_9,Phage_capsid,415,64.49,0,0,Control,64.49,64.49
DTR_300201,DTR_300201_3,Peptidase_S78|Phage_capsid,503,29.68,0,0,Control,29.68,29.68
DTR_310598,DTR_310598_7,Linocin_M18|Peptidase_S78|Phage_capsid|UBA,503,52.39,11.35,21.66443978,Mini,52.39,52.39
DTR_687427,DTR_687427_14,DUF2059|Phage_capsid,410,65.77,0,0,Control,65.77,65.77
DTR_868114,DTR_868114_15,FMN_bind|Get5_C|Phage_capsid,411,64.39,0,0,Control,64.39,64.39
DTR_405159,DTR_405159_5,DUF6384|DUF6823|Phage_capsid,410,67.24,0,0,Mini,67.24,67.24
DTR_596921,DTR_596921_6,Phage_capsid,411,64.39,0,0,Control,64.39,64.39
DTR_376964,DTR_376964_1,Phage_capsid,66,90.77,0,0,Mini,90.77,90.77
DTR_023342,DTR_023342_5,Phage_capsid,431,70,0,0,Mini,70,70
DTR_501211,DTR_501211_7,Peptidase_S78|Phage_capsid,499,50.4,0,0,Mini,50.4,50.4
DTR_533866,DTR_533866_6,B|Phage_capsid,421,63.33,0,0,Control,63.33,63.33
DTR_638742,DTR_638742_12,Peptidase_S78|Phage_capsid,523,30.46,0,0,Control,30.46,30.46
DTR_651437,DTR_651437_3,BLOC1_2|DUF4407|Phage_capsid|PspB|YPEB_N,389,72.42,0,0,Control,72.42,72.42
DTR_685244,DTR_685244_13,Linocin_M18,280,61.29,61.29,100,Mini,61.29,61.29
DTR_394160,DTR_394160_12,Linocin_M18,280,38.35,38.35,100,Mini,38.35,38.35
DTR_695978,DTR_695978_25,OAD_gamma|Peptidase_S78|Phage_capsid,524,31.36,0,0,Control,31.36,31.36
YP_009097632.1,YP_009097632.1,Gp23,166,24.1,0,0,Refseq,24.1,24.1
DTR_333958,DTR_333958_1,Phage_capsid,194,97.93,0,0,Mini,97.93,97.93
DTR_707963,DTR_707963_14,DUF2059|Phage_capsid,410,65.77,0,0,Control,65.77,65.77
DTR_401384,DTR_401384_13,Phage_capsid,368,74.39,0,0,Control,74.39,74.39
DTR_137210,DTR_137210_3,DUF6260|DUF6341,115,75.44,0,0,Mini,75.44,75.44
DTR_331758,DTR_331758_8,Peptidase_S78|Phage_capsid,515,52.53,0,0,Control,52.53,52.53
DTR_258728,DTR_258728_2,Peptidase_S78|Phage_capsid,513,50.2,0,0,Control,50.2,50.2
DTR_122154,DTR_122154_8,Peptidase_S78|Phage_capsid,609,45.56,0,0,Control,45.56,45.56
DTR_233894,DTR_233894_20,ATG14|CREPT|FlxA|Nepo_coat_N|Phage_capsid|Wtap,428,69.09,0,0,Control,69.09,69.09
DTR_152302,DTR_152302_15,Peptidase_S78|Phage_capsid,601,39,0,0,Control,39,39
DTR_513107,DTR_513107_6,Phage_capsid,418,64.75,0,0,Mini,64.75,64.75
DTR_194538,DTR_194538_10,Linocin_M18|Phage_capsid,451,54,18.44,34.14814815,Control,54,54
DTR_297376,DTR_297376_5,Gp10A-like|Hex_IIIa|Phage_capsid_2,285,70.42,0,0,Control,70.42,70.42
DTR_584709,DTR_584709_7,DUF1428|DUF4829|Linocin_M18,283,28.37,28.37,100,Mini,28.37,28.37
DTR_759812,DTR_759812_10,DUF1428|DUF4829|Linocin_M18,283,28.37,28.37,100,Mini,28.37,28.37
DTR_599108,DTR_599108_16,Phage_capsid,399,67.09,0,0,Control,67.09,67.09
DTR_009109,DTR_009109_2,L_lactis_ph-MCP|Linocin_M18|Phage_capsid,365,78.02,17.03,21.82773648,Mini,78.02,78.02
DTR_349085,DTR_349085_5,DUF5309|Lectin_N,345,89.53,0,0,Control,89.53,89.53
DTR_318824,DTR_318824_19,Peptidase_S78|Phage_capsid,502,47.5,0,0,Control,47.5,47.5
DTR_142910,DTR_142910_6,Phage_capsid,300,94.31,0,0,Control,94.31,94.31
DTR_135816,DTR_135816_8,DUF2537|P22_CoatProtein,281,78.57,0,0,Mini,78.57,78.57
DTR_437789,DTR_437789_1,Phage_capsid,399,67.09,0,0,Control,67.09,67.09
DTR_698294,DTR_698294_14,DUF6645|Phage_capsid,302,94.02,0,0,Control,94.02,94.02
DTR_662310,DTR_662310_5,Peptidase_S78|Phage_capsid,570,37.26,0,0,Mini,37.26,37.26
DTR_497053,DTR_497053_3,Get5_C|Phage_capsid,411,64.39,0,0,Control,64.39,64.39
DTR_042739,DTR_042739_6,Peptidase_S78|Phage_capsid,596,40.34,0,0,Control,40.34,40.34
DTR_701313,DTR_701313_8,Mu-like_gpT,662,8.77,0,0,Control,8.77,8.77
DTR_216087,DTR_216087_13,Phage_capsid,411,78.05,0,0,Control,78.05,78.05
DTR_501506,DTR_501506_16,Phage_capsid|S6OS1|V_ATPase_I,368,74.66,0,0,Control,74.66,74.66
DTR_262823,DTR_262823_19,Peptidase_S78|Phage_capsid,497,47.78,0,0,Control,47.78,47.78
DTR_405054,DTR_405054_1,FlhD|Peptidase_S78|Phage_capsid,551,46.91,0,0,Control,46.91,46.91
DTR_110268,DTR_110268_2,Peptidase_S78|Phage_capsid,520,44.32,0,0,Control,44.32,44.32
DTR_784866,DTR_784866_21,Peptidase_S78|Phage_capsid,522,22.07,0,0,Control,22.07,22.07
DTR_459623,DTR_459623_3,Phage_capsid,294,93.52,0,0,Mini,93.52,93.52
DTR_095749,DTR_095749_14,DUF3848|GP38|Mu-like_gpT|Peptidase_S78,631,22.7,0,0,Control,22.7,22.7
DTR_099162,DTR_099162_5,DUF5309,377,59.84,0,0,Control,59.84,59.84
DTR_486720,DTR_486720_2,Peptidase_S78|Phage_capsid,523,30.46,0,0,Control,30.46,30.46
DTR_176112,DTR_176112_26,DUF3751|Phage_capsid,430,68.53,0,0,Control,68.53,68.53
DTR_348737,DTR_348737_1,GP7,106,81.13,0,0,Control,81.13,81.13
DTR_699652,DTR_699652_3,Peptidase_S78|Phage_capsid,509,42.72,0,0,Control,42.72,42.72
DTR_153740,DTR_153740_14,Phage_capsid,318,84.86,0,0,Control,84.86,84.86
DTR_699705,DTR_699705_20,Peptidase_S78|Phage_capsid,509,42.72,0,0,Control,42.72,42.72
DTR_395962,DTR_395962_5,Linocin_M18,277,40.94,40.94,100,Mini,40.94,40.94
DTR_299916,DTR_299916_2,Phage_capsid,170,88.17,0,0,Micro,88.17,88.17
DTR_008905,DTR_008905_9,L_lactis_ph-MCP|Linocin_M18|Phage_capsid,365,78.02,17.03,21.82773648,Mini,78.02,78.02
DTR_117393,DTR_117393_5,Phage_capsid|SSFA2_C,390,72.49,0,0,Mini,72.49,72.49
DTR_294789,DTR_294789_13,Phage_capsid,352,38.46,0,0,Mini,38.46,38.46
DTR_110169,DTR_110169_1,Phage_capsid,320,57.05,0,0,Control,57.05,57.05
DTR_022117,DTR_022117_4,Phage_capsid,390,73.01,0,0,Control,73.01,73.01
DTR_010412,DTR_010412_2,Phage_capsid,394,65.39,0,0,Mini,65.39,65.39
DTR_251325,DTR_251325_1,ALC|Bap31_Bap29_C|DUF4337|DUF5927|Duffy_binding|Phage_capsid,297,44.44,0,0,Mini,44.44,44.44
DTR_679629,DTR_679629_8,HZS_alpha|LisH_2|P22_CoatProtein,289,28.12,0,0,Micro,28.12,28.12
DTR_591332,DTR_591332_19,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_055730,DTR_055730_7,Phage_capsid,412,63.5,0,0,Mini,63.5,63.5
DTR_258730,DTR_258730_30,Phage_capsid,405,47.52,0,0,Control,47.52,47.52
DTR_654632,DTR_654632_4,Phage_capsid,408,64.37,0,0,Control,64.37,64.37
DTR_644567,DTR_644567_3,DnaG_DnaB_bind|Phage_capsid,490,57.46,0,0,Mini,57.46,57.46
DTR_125658,DTR_125658_12,CCDC74_C|DASH_Spc19|DUF2680|DegS|Phage_capsid,411,61.95,0,0,Mini,61.95,61.95
DTR_661898,DTR_661898_13,Phage_capsid,403,70.65,0,0,Mini,70.65,70.65
DTR_677945,DTR_677945_11,Peptidase_S78|Phage_capsid,499,50.2,0,0,Mini,50.2,50.2
DTR_606804,DTR_606804_6,Phage_capsid,375,70.59,0,0,Mini,70.59,70.59
DTR_306144,DTR_306144_4,Phage_capsid|Pinin_SDK_memA,410,24.45,0,0,Mini,24.45,24.45
DTR_742353,DTR_742353_3,Phage_capsid|SLS,307,49.02,0,0,Micro,49.02,49.02
DTR_724179,DTR_724179_14,DUF5309|Endotoxin_mid,296,92.88,0,0,Control,92.88,92.88
DTR_884203,DTR_884203_2,Linocin_M18,283,52.84,52.84,100,Mini,52.84,52.84
DTR_696755,DTR_696755_7,Phage_capsid,431,70,0,0,Mini,70,70
DTR_770951,DTR_770951_14,Phage_capsid,410,65.28,0,0,Control,65.28,65.28
DTR_435039,DTR_435039_20,DUF2059|Phage_capsid,394,67.94,0,0,Control,67.94,67.94
DTR_276405,DTR_276405_19,Phage_capsid,586,48.55,0,0,Control,48.55,48.55
DTR_723797,DTR_723797_3,ELH|Phage_capsid,433,62.5,0,0,Mini,62.5,62.5
DTR_542522,DTR_542522_11,Linocin_M18,280,61.29,61.29,100,Mini,61.29,61.29
DTR_050713,DTR_050713_20,DUF3291|Peptidase_S78|Phage_capsid,517,54.84,0,0,Control,54.84,54.84
DTR_292566,DTR_292566_12,P22_CoatProtein,290,31.83,0,0,Control,31.83,31.83
DTR_600710,DTR_600710_17,Phage_capsid,407,65.76,0,0,Control,65.76,65.76
DTR_510022,DTR_510022_6,Linocin_M18|Phage_capsid_2,282,56.58,43.06,76.10463061,Mini,56.58,56.58
DTR_233376,DTR_233376_10,Peptidase_S78|Phage_capsid,520,47.01,0,0,Control,47.01,47.01
DTR_822269,DTR_822269_3,Phage_capsid,286,94.04,0,0,Mini,94.04,94.04
DTR_579213,DTR_579213_19,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_179870,DTR_179870_2,Phage_capsid|PmbA_TldD_1st,277,77.54,0,0,Mini,77.54,77.54
DTR_188463,DTR_188463_3,Phage_capsid,405,63.37,0,0,Mini,63.37,63.37
DTR_110819,DTR_110819_22,Peptidase_S78|Phage_capsid,511,53.33,0,0,Control,53.33,53.33
DTR_354648,DTR_354648_5,Lipoprotein_2|Phage_capsid_2,287,47.2,0,0,Control,47.2,47.2
DTR_684801,DTR_684801_15,Linocin_M18,280,61.29,61.29,100,Mini,61.29,61.29
DTR_259189,DTR_259189_18,Peptidase_S78|Phage_capsid|Smoa_sbd,517,43.22,0,0,Control,43.22,43.22
DTR_286245,DTR_286245_8,DUF2150|P22_CoatProtein|Phage_capsid_2,298,84.51,0,0,Control,84.51,84.51
DTR_835282,DTR_835282_9,Linocin_M18,281,60,60,100,Mini,60,60
DTR_263611,DTR_263611_12,Peptidase_S78|Phage_capsid,503,29.68,0,0,Control,29.68,29.68
DTR_034282,DTR_034282_4,Peptidase_S78|Phage_capsid,506,50.3,0,0,Control,50.3,50.3
DTR_125660,DTR_125660_19,Peptidase_S78|Phage_capsid,468,51.18,0,0,Mini,51.18,51.18
DTR_325279,DTR_325279_11,GP7,307,85.62,0,0,Control,85.62,85.62
DTR_141313,DTR_141313_7,DUF4337|Nup88|Phage_capsid|Sulfatase_C|V-ATPase_G_2,389,65.46,0,0,Mini,65.46,65.46
DTR_423774,DTR_423774_1,IBV_3B|Phage_capsid,103,91.18,0,0,Mini,91.18,91.18
DTR_738091,DTR_738091_6,Acetyltransf_CG|Linocin_M18|Phage_capsid_2,283,30.14,29.08,96.48307896,Mini,30.14,30.14
DTR_702363,DTR_702363_12,DUF5309,376,73.6,0,0,Control,73.6,73.6
DTR_274065,DTR_274065_9,Peptidase_S78|Phage_capsid,506,50.3,0,0,Mini,50.3,50.3
DTR_423428,DTR_423428_6,DUF1664|DUF2120|Phage_capsid,368,74.39,0,0,Control,74.39,74.39
DTR_803049,DTR_803049_6,Phage_capsid,410,63.81,0,0,Mini,63.81,63.81
DTR_033379,DTR_033379_3,CoV_NSP2_C|Peptidase_S78|Phage_capsid|S1-like,497,43.75,0,0,Control,43.75,43.75
DTR_125659,DTR_125659_6,Linocin_M18|Peptidase_S78|Phage_capsid,507,48.02,10.87,22.6364015,Mini,48.02,48.02
DTR_524046,DTR_524046_5,Phage_capsid|Phage_capsid_2,290,62.98,0,0,Micro,62.98,62.98
DTR_266931,DTR_266931_11,DUF2184|Phage_capsid,385,67.97,0,0,Control,67.97,67.97
DTR_056084,DTR_056084_4,Phage_capsid,412,63.5,0,0,Mini,63.5,63.5
DTR_315291,DTR_315291_9,DUF6260|DUF6341,115,75.44,0,0,Mini,75.44,75.44
DTR_109347,DTR_109347_5,DUF6260|DUF6341,115,75.44,0,0,Mini,75.44,75.44
DTR_610893,DTR_610893_5,DUF5990|Phage_capsid,337,72.02,0,0,Micro,72.02,72.02
DTR_825878,DTR_825878_15,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_453288,DTR_453288_12,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_821528,DTR_821528_5,Phage_capsid,435,62.21,0,0,Mini,62.21,62.21
DTR_287318,DTR_287318_12,Linocin_M18|Phage_cap_E,289,40.62,29.51,72.64894141,Control,40.62,40.62
DTR_517863,DTR_517863_10,P22_CoatProtein|XS,271,28.15,0,0,Mini,28.15,28.15
DTR_056032,DTR_056032_7,Phage_capsid,412,63.5,0,0,Mini,63.5,63.5
DTR_577897,DTR_577897_14,Phage_capsid,415,63.37,0,0,Mini,63.37,63.37
DTR_153353,DTR_153353_6,Phage_capsid,404,63.28,0,0,Mini,63.28,63.28
DTR_250648,DTR_250648_12,APC_u13|Peptidase_S78|Phage_capsid,527,48.29,0,0,Control,48.29,48.29
DTR_602746,DTR_602746_13,FlhD|Peptidase_S78|Phage_capsid,551,46.91,0,0,Control,46.91,46.91
DTR_091244,DTR_091244_12,EspB|Osmo_CC|Phage_capsid|Plasmid_RAQPRD,416,68.67,0,0,Control,68.67,68.67
DTR_263478,DTR_263478_19,Peptidase_S78|Phage_capsid,497,47.78,0,0,Control,47.78,47.78
DTR_314493,DTR_314493_17,Peptidase_S78|Phage_capsid,516,40,0,0,Control,40,40
DTR_242130,DTR_242130_9,DUF4347|Phage_capsid,285,39.79,0,0,Mini,39.79,39.79
DTR_316114,DTR_316114_7,Peptidase_S78|Phage_capsid,500,47.7,0,0,Control,47.7,47.7
DTR_636514,DTR_636514_7,Peptidase_S78|Phage_capsid,523,22.22,0,0,Control,22.22,22.22
DTR_294627,DTR_294627_3,DUF5309,346,89.57,0,0,Control,89.57,89.57
DTR_191695,DTR_191695_10,DUF2184|Phage_capsid,398,72.29,0,0,Mini,72.29,72.29
DTR_142907,DTR_142907_9,Peptidase_S78|Phage_capsid,507,46.25,0,0,Control,46.25,46.25
DTR_285287,DTR_285287_29,MAML1_3_TAD2|Phage_capsid,340,69.62,0,0,Control,69.62,69.62
DTR_744137,DTR_744137_13,Phage_cap_E,376,85.6,0,0,Control,85.6,85.6
DTR_285288,DTR_285288_13,Peptidase_S78|Phage_capsid,557,45.86,0,0,Control,45.86,45.86
DTR_588261,DTR_588261_1,P22_CoatProtein|Peptidase_U57,301,64.33,0,0,Micro,64.33,64.33
DTR_618408,DTR_618408_11,Phage_cap_E,351,95.71,0,0,Mini,95.71,95.71
DTR_178784,DTR_178784_12,DUF4213|Gp13-like,332,54.38,0,0,Mini,54.38,54.38
DTR_308087,DTR_308087_15,Phage_capsid,440,33.03,0,0,Control,33.03,33.03
DTR_318820,DTR_318820_12,Phage_capsid|Syntaxin-6_N,418,66.91,0,0,Control,66.91,66.91
DTR_681018,DTR_681018_10,Peptidase_S78|Phage_capsid,497,50.4,0,0,Mini,50.4,50.4
DTR_793381,DTR_793381_10,Linocin_M18,290,34.26,34.26,100,Mini,34.26,34.26
DTR_651813,DTR_651813_10,NDT80_PhoG|Phage_capsid,389,65.46,0,0,Mini,65.46,65.46
DTR_271822,DTR_271822_4,Phage_capsid,399,65.83,0,0,Control,65.83,65.83
DTR_702784,DTR_702784_2,Hint|Linocin_M18|Phage_capsid,482,67.78,21.21,31.29241664,Mini,67.78,67.78
DTR_305205,DTR_305205_1,Phage_capsid,250,48,0,0,Mini,48,48
DTR_881358,DTR_881358_5,Phage_capsid|Synuclein,286,94.04,0,0,Mini,94.04,94.04
DTR_025673,DTR_025673_12,Phage_capsid|Pinin_SDK_memA,410,24.45,0,0,Mini,24.45,24.45
DTR_011740,DTR_011740_1,Phage_capsid,406,71.85,0,0,Mini,71.85,71.85
DTR_024048,DTR_024048_7,DUF3209|PLD_C|Phage_capsid,397,72.47,0,0,Control,72.47,72.47
